titulo,autor
Ideias para Adiar o Fim do Mundo,Ailton Krenak
Os Retratos de Golden,Allen Levi
É Assim que se Perde a Guerra do Tempo,Amal El-Mohtar & Max Gladstone
Diários de uma Apotecária,Natsu Hyuuga
Cabeça de Santo,Socorro Acioli
Mestre dos Djinns,P. Djèlí Clark
Terra Partida,Clare Leslie Hall
Ecos da Floresta,Liz Moore
Como Sobreviver a um Filme de Terror,Scarlett Dunmore
O Príncipe do Sol,Michelle Jabès Corpora
O Perigo de Estar Lúcida,Rosa Montero
Quarto de Despejo,Carolina Maria de Jesus
Cleópatra e Frankenstein,Coco Mellors
Olhos D'Água,Conceição Evaristo
Canção para Ninar um Menino Grande,Conceição Evaristo
O Castelo Animado,Diana Wynne Jones
O Silêncio da Cidade Branca,Eva García Sáenz de Urturi
Eleanor Oliphant Está Muito Bem,Gail Honeyman
A Vegetariana,Han Kang
Uma Vida Pequena,Hanya Yanagihara
A Obscena Senhora D,Hilda Hilst
Torto Arado,Itamar Vieira Junior
O que Alice Esqueceu,Liane Moriarty
Katabasis,R.F. Kuang
Impostora,R.F. Kuang
Nunca Vi a Chuva,Stefano Volp
Guerra e Paz,Liev Tolstói
Crime e Castigo,Fiódor Dostoiévski
Anna Karênina,Liev Tolstói
Mau Hábito,
Todas as Cores do Céu,
O que Resta de Nós,
Grupo de Apoio a Serial Killers,
Uma Delicada Coleção de Ausências,
Enterrem Nossos Ossos à Meia-Noite,
Não Fossem as Sílabas do Sábado,
A Última Grande Lição,
Crime no Copan,
O Pequeno Caderno das Coisas Não Ditas,
Tempo de Reacender Estrelas,
Clube de Leitura de Corações Solitários,
Avesso da Pele,
A Garota da Casa ao Lado,
Primeiro Eu Tive que Morrer,
Detalhe Menor,
O Livreiro de Gaza,
O Peso do Pássaro Morto,
A Montanha é Você,
No Rastro da Mentira,
Entre Sessões,
Sete Centímetros,
